Ticker,FX
SN.L,GBP=X
SMN.L,GBP=X
SK3.IR,EUR=X
SRG.MI,EUR=X
SJ7.F,EUR=X
SOW.DE,EUR=X
SOLB.BR,EUR=X
SOON.VX,CHF=X
SOP.PA,EUR=X
SXS.L,GBP=X
SPIE.PA,EUR=X
SPX.L,GBP=X
SPR.DE,EUR=X
SSPG.L,GBP=X
STJ.L,GBP=X
STAN.L,GBP=X
SLA.L,GBP=X
STM.MI,EUR=X
STERV.HE,EUR=X
STB.OL,NOK=X
STMN.VX,CHF=X
SUBC.OL,NOK=X
SEV.PA,EUR=X
SRCG.SW,CHF=X
SCA-B.ST,SEK=X
SHB-A.ST,SEK=X
UHR.VX,CHF=X
SWED-A.ST,SEK=X
SWMA.ST,SEK=X
SOBI.ST,SEK=X
SLHN.VX,CHF=X
SPSN.SW,CHF=X
SREN.VX,CHF=X
SCMN.VX,CHF=X
SYDB.CO,DKK=X
OXSY1.SW,EUR=X
TEG.DE,EUR=X
TATE.L,GBP=X
TWW.DU,GBP=X
TECN.VX,CHF=X
FTI.PA,EUR=X
TEL2-B.ST,SEK=X
TIT.MI,EUR=X
TEF.MC,EUR=X
O2D.DE,EUR=X
TNET.BR,EUR=X
TEL.OL,NOK=X
TEP.PA,EUR=X
TELIA.ST,SEK=X
TEMN.SW,CHF=X
TEN.MI,EUR=X
TRN.MI,EUR=X
TSCO.L,GBP=X
TGS.OL,NOK=X
HO.PA,EUR=X
TKA.DE,EUR=X
FP.PA,EUR=X
TCAP.L,GBP=X
TPK.L,GBP=X
TREL-B.ST,SEK=X
TRYG.CO,DKK=X
TIU.L,GBP=X
TQW.SG,GBP=X
UBI.MI,EUR=X
UBI.PA,EUR=X
UBSG.VX,CHF=X
UCB.BR,EUR=X
UDG.L,GBP=X
UMI.BR,EUR=X
UCG.MI,EUR=X
UNLVF,EUR=X
UL,GBP=X
UN01.DE,EUR=X
UTDI.DE,EUR=X
UU.L,GBP=X
UMP.HE,EUR=X
VSA.F,EUR=X
VACN.SW,CHF=X
VIE.PA,EUR=X
VWS.SW,DKK=X
VCT.L,GBP=X
VIFN.VX,CHF=X
DG.PA,EUR=X
VIS.F,EUR=X
VVU.HA,EUR=X
VOD.L,GBP=X
VOE.VI,EUR=X
VOW3.DE,EUR=X
VOLV-B.ST,SEK=X
VONOY,EUR=X
VPK.AS,EUR=X
WCH.HA,EUR=X
WRT1V.HE,EUR=X
WEIR.L,GBP=X
WNDLF,EUR=X
WTBN.MX,GBP=X
WIE.VI,EUR=X
WDH.CO,DKK=X
WHI.DU,GBP=X
WDI.EX,EUR=X
WOSB.MU,EUR=X
WG.L,GBP=X
0WP.BE,GBP=X
YAR.OL,NOK=X
ZAL.BE,EUR=X
ZURN.VX,CHF=X
